Nom;Type;Ingrédients;Instructions;Temps;Origine;Kcal
Brochette de poulet grillé;Plat Principal;Poulet, Poivron, Oignon, Cumin, Marinade au yaourt;"Préparez la marinade en mélangeant le yaourt, le jus de citron, 
et l'ail écrasé dans un bol. Ajoutez les cubes de poulet dans la marinade et
 laissez reposer pendant au moins 30 minutes.
Enfilez les morceaux de poulet marinés, les poivrons et les quartiers d'oignon 
sur des brochettes.
Saupoudrez les brochettes de cumin en poudre.
Préchauffez le gril à feu moyen-élevé.
Faites griller les brochettes pendant environ 10-15 minutes, 
en les retournant pour une cuisson uniforme.
Vérifiez la cuisson du poulet en vous assurant qu'il atteint 
une température interne de 75°C.
Servez les brochettes chaudes, garnies de citron et de coriandre 
fraîche si désiré.
";45 minutes;Méditerranée;325
Poulet Alfredo aux champignons;Plat Principal;Poulet, Sauce Alfredo, Champignons, Permesan, Epices;"Coupez les blancs de poulet en morceaux.
Faites cuire les morceaux de poulet dans une poêle jusqu'à ce qu'ils soient bien dorés et cuits à l'intérieur.
Ajoutez les champignons tranchés à la poêle et faites-les sauter jusqu'à ce qu'ils soient tendres.
Versez la sauce Alfredo sur le poulet et les champignons. Mélangez bien pour enrober.
Laissez mijoter pendant quelques minutes jusqu'à ce que la sauce soit chaude et que les saveurs se mélangent.
Saupoudrez de parmesan râpé avant de servir.
Servez le Poulet Alfredo aux Champignons sur des pâtes cuites al dente ou avec du riz.";35 minutes;Italie;500
Poulet BBQ ;Plat Principal;Poulet, Sauce barbecue, Paprika, Miel, Huile d'olive;"Préchauffez le four à 200°C.
Dans un bol, mélangez les ailes de poulet avec la sauce barbecue, le paprika, 
et un filet de miel pour obtenir une marinade savoureuse.
Laissez mariner les ailes de poulet pendant au moins 30 minutes.
Disposez les ailes de poulet sur une plaque de cuisson recouverte de papier aluminium.
Cuisez au four pendant environ 40 à 45 minutes, en les retournant à mi-cuisson, 
jusqu'à ce qu'elles soient cuites et croustillantes.
Pendant la cuisson, badigeonnez les ailes de poulet avec un peu 
de sauce barbecue supplémentaire.
Retirez du four et laissez reposer quelques minutes avant de servir.";45 minutes;Amérique;420
Chawarma de poulet;Plat Principal;Poulet, Jus de citron, Yaourt nature, Epices, Huile d'olive;"Dans un bol, mélangez le jus de citron, le yaourt, les épices, l'huile d'olive,
 le sel et le poivre pour créer la marinade.
Ajoutez les lanières de poulet à la marinade, en vous assurant qu'elles sont bien 
enrobées. Laissez mariner au moins 1 heure, idéalement toute la nuit au réfrigérateur.
Préchauffez une poêle ou un grill à feu moyen-élevé.
Faites cuire les lanières de poulet marinées jusqu'à ce qu'elles soient 
bien dorées et cuites à l'intérieur.
Servez les lanières de poulet chawarma dans des pains pita avec 
des légumes frais et une sauce au yaourt.";1 heure;Moyen-Orient;375
Spaghetti Pomodoro;Plat principal;Tomates, Basilic, Huile d'olive, Ail, Pates;"Cuisez les pâtes, 
faites sauter l'ail dans l'huile,
 ajoutez les tomates, le basilic, 
et mélangez avec les pâtes.";25 minutes;Italie;350
Caprese Salad;Entrée;Tomates, Mozzarella, Basilic, Huile d'olive, Epices;"Disposez les tranches de tomates
 et de mozzarella en alternance,
 arrosez d'huile d'olive et garnissez de basilic frais.";15 minutes;Italie;250
Bruschetta;Entrée ;Tomates, Ail, Basilic, Huile d'olive, Pain;"Mélangez les tomates, l'ail, le basilic, 
étalez sur des tranches de pain grillé 
et arrosez d'huile d'olive.";20 minutes;Italie;180
Ratatouille;Plat principal;Tomates, Aubergine, Courgette, Poivron, Epices;"Faites sauter les légumes,
 ajoutez les tomates, mijotez jusqu'à ce que tout 
soit tendre, servez chaud";40 minutes;France;200
Gazpacho;Entrée;Tomates, Ail , Concombre, Oignon, Poivron;"Mélangez tous les légumes dans un mixeur,
 réfrigérez, servez froid.";15 minutes;Espagne;120
Tomates farcies;Plat principal;Tomates, Viande hachée, Riz, Herbes, Epices;"Mélangez la viande, le riz, les herbes, 
farcissez les tomates, 
faites cuire au four jusqu'à ce que le riz soit cuit.";30 minutes;International;320
Salade de tomates et Feta;Entrée;Tomates, Feta, Concombre, Olive noire, Sel;"Coupez les tomates et le concombre en dés, 
ajoutez la feta émiettée et les olives. 
Assaisonnez avec de l'huile d'olive.";15 minutes;Grèce;180
Poulet aux carottes ;Plat principal;Carotte, Poulet, Riz, Epices, Légume;"Faites cuire le poulet et 
les carottes avec des épices,
 servez sur du riz cuit.";30 minutes;International;380
Soupe de carottes et poisson;Plat principal;Carotte, Oignon, Pomme de terre, Bouillon de légumes, Poisson;"Faites cuire les carottes,
les oignons et le poisson dans le bouillon, 
ajoutez les pommes de terre, faites mijoter et mixez.";45 minutes;International;220
Carrot cake;Dessert;Carotte, Farine, Oeufs, Sucre, Huile;"Melanger le sucre et les Oeufss, 
ncorporer l'huile puis la farine et enfin la carotte ";20 minutes;USA;300
"Curry de légumes et 
pois chiches ";Plat principal;Carotte, Courgette, Pois chiche, Curry, Viande hachée;"Faites revenir les carottes
 et les courgettes avec du curry, 
ajoutez les pois chiches et servez avec du riz.";35 minutes;Inde;320
"Purée de carottes et 
pommes de terre ";Plat principal;Carotte, Pomme de terre, Lait, Ail, Crème fraiche;"Faites cuire les carottes 
et les pommes de terre dans du lait avec de l'ail, 
puis réduisez en purée.";30 minutes;International;300
Salade de carottes ;Entrée;Carotte, Celeri, Poivron, Tomates, Noix;"Râpez les carottes et mélangez-les
 avec les poivrons, le céleri et les tomates, 
assaisonnez et servez frais.";20 minutes;France;150
Poêlée de carottes ;Plat principal;Carotte, Poireau, Lardon, Vin blanc, Jambon;"Faites revenir les carottes avec les poireaux 
et les lardons dans du vin blanc jusqu'à ce qu'elles soient tendres.";35 minutes;France;350
Pancakes aux œufs;Dessert;Oeufs, Farine, Lait, Sucre, Levure;" Mélangez les œufs, la farine, le lait, 
le sucre et la levure, 
puis faites cuire des petites crêpes dans une poêle.";20 minutes;USA;200
Quiche lorraine;Entrée;Oeufs, Lardon, Fromage, Creme fraiche, Pate feuilletée;"Battez les œufs avec les lardons, le fromage et 
la crème fraîche, puis versez le mélange sur 
la pâte feuilletée et faites cuire au four.";45 minutes;France;300
Omelette aux œufs ;Plat principal;Oeufs, Jambon, Champignon, Epinard, Tomates;" Battez les œufs, puis ajoutez le jambon,
 les champignons, les épinards et les tomates 
coupées en dés, faites cuire dans une poêle.";15 minutes;International;200
Pain perdu ;Dessert;Oeufs, Lait, Vanille, Sucre, Pain;"Battez les œufs avec le lait, la vanille et le sucre,
 puis trempez les tranches de pain dans ce mélange
 et faites-les dorer à la poêle.";25 minutes;France;350
Riz sauté aux œufs ;Plat principal;Oeufs, Poulet, Riz, Légume, Sauce soja;" Faites cuire le riz, puis ajoutez les œufs battus, 
le poulet et les légumes sautés, assaisonnez avec de
 la sauce soja.";30 minutes;Asie;400
Tortilla espagnole ;Plat principal;Oeufs, Pomme de terre, Oignon, Persil, Huilde d'olive;" Faites cuire les pommes de terre et les oignons dans
 de l'huile d'olive, ajoutez les œufs battus, 
faites cuire jusqu'à prise, retournez et faites cuire 
l'autre côté.";40 minutes;Espagne;300
Chakchouka ;Plat principal;Oeufs, Poivron, Oignon, Tomates, Epices;"Faites revenir les oignons et l'ail, ajoutez les poivrons 
et les tomates. Laissez mijoter, puis cassez les œufs 
sur le mélange et faites cuire jusqu'à ce que les
 blancs soient pris.";30 minutes;Maghreb ;300
Salade de pois chiches;Entrée;Pois chiche, Concombre, Tomates, Feta, Persil;Mélangez les pois chiches cuits avec des dés de concombre, de tomates, du persil haché et de la feta émiettée. Assaisonnez avec du sel, du poivre et un filet d'huile d'olive.;15 minutes;Méditerranée;350
Curry de pois chiches;Plat principal;Pois chiche, Lait de coco, Curry, Légume, Riz;Faites mijoter les pois chiches avec du lait de coco, du curry et des légumes de votre choix. Servez sur du riz cuit et garnissez de coriandre fraîche si désiré.;40 minutes;Inde;400
Houmous;Entrée;Pois chiche, Tahini, Ail, Jus de citron, Huile d'olive;Mélangez les pois chiches cuits avec du tahini, de l'ail écrasé, du jus de citron et de l'huile d'olive. Mixez jusqu'à obtenir une texture lisse. Assaisonnez avec du sel et du poivre selon votre goût.;10 minutes;Liban;200
Pois chiches rôtis;Entrée, plat principal;Pois chiche, Cumin, Paprika, Huile d'olive, Ail;Mélangez les pois chiches égouttés avec du paprika, du cumin, de l'huile d'olive et du sel. Étalez-les sur une plaque de cuisson et faites-les rôtir au four jusqu'à ce qu'ils soient croustillants.;30 minutes;International;180
Falafels;Plat principal;Pois chiche, Persil, Oignon, Ail, Coriandre;Mixez les pois chiches cuits avec du persil, de l'oignon, de l'ail et de la coriandre. Formez des boules et faites-les frire jusqu'à ce qu'elles soient dorées et croustillantes à l'extérieur.;40 minutes;Moyen-Orien;280
Salade méditerranéenne;Entrée;Pois chiche, Poivron, Tomates, Concombre, Olive;Mélangez les pois chiches cuits avec des dés de poivrons, de concombre et des olives. Assaisonnez avec de l'huile d'olive, du vinaigre balsamique, du sel, du poivre et des herbes fraîches au goût.;20 minutes;Méditerranée;250
Potage aux pois chiches;Plat principal;Pois chiche, Carotte, Celeri, Pomme de terre, Bouillon;Faites cuire les pois chiches avec des carottes, du céleri, des pommes de terre et du bouillon jusqu'à ce que tous les légumes soient tendres. Mixez le tout jusqu'à obtenir une soupe lisse.;45 minutes;International;180
